ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,4.151244e-09,2.8901248e-08,6.831534e-08,1.5903406e-07,0.99245214,5.5358845e-07,1.3217472e-07,8.2164355e-09,7.261373e-08,3.0405212e-09,5.7986426e-08,0.007532155,3.2702843e-07,2.8920303e-07,2.6305992e-07,4.1600297e-09,4.123872e-07,1.1245172e-05,7.945948e-07,1.16480114e-08,1.3944585e-06
TEST_00001,5,2.7801332e-06,8.924617e-06,1.9347304e-05,5.491314e-07,4.126046e-06,0.95264643,1.3508179e-05,9.508747e-05,0.00012632382,3.831495e-06,0.00011828905,4.8496713e-05,0.046659842,5.2649593e-05,7.683936e-06,4.74768e-06,0.00012871147,1.599483e-05,3.0801137e-05,1.1130277e-05,7.902496e-07
TEST_00002,0,0.24654952,8.1131875e-06,5.529122e-06,0.11440082,3.5528744e-06,7.5071293e-06,2.3336406e-06,6.2141908e-06,1.5349414e-06,0.23568825,0.0013736945,0.00370854,2.553946e-06,2.8234679e-06,0.018788718,0.22693764,0.0058627767,1.8986075e-06,2.6015816e-06,0.1465534,9.19522e-05
TEST_00003,15,0.24676107,2.6148758e-05,7.89359e-06,0.107330106,2.247776e-06,7.4142195e-06,3.1072684e-06,4.078167e-06,8.866504e-06,0.23920994,0.0055031637,0.003742525,6.4007627e-06,8.689456e-06,0.024027048,0.2528232,0.013926617,1.5251559e-06,2.7363697e-06,0.106588945,8.284521e-06
TEST_00004,19,0.21399684,1.807977e-05,3.4981815e-05,0.134849,2.7364902e-05,3.2335214e-05,1.6003863e-05,4.977093e-05,3.507861e-05,0.18958625,0.011350993,0.004592333,6.732266e-05,3.5638077e-05,0.017986672,0.1791506,0.02384064,9.271819e-06,2.5173356e-05,0.2237098,0.0005858527
TEST_00005,1,3.3813517e-06,0.5864807,0.00011832746,4.0857476e-06,3.4008885e-05,3.901518e-05,0.00251696,1.1912533e-05,0.41032505,5.022688e-06,6.394236e-05,7.254557e-07,3.047212e-05,0.0001948833,4.057696e-06,2.986341e-06,1.7588658e-05,8.36334e-05,5.8419653e-05,3.034624e-06,1.8297515e-06
TEST_00006,8,1.6688003e-14,2.623067e-09,2.073188e-05,4.6581544e-15,5.1060545e-13,2.695003e-13,7.813895e-12,1.620392e-10,0.99997926,4.0061968e-14,4.8447357e-13,1.2830662e-12,1.2461667e-14,3.6122425e-09,2.863896e-14,2.1932844e-14,1.11070854e-13,4.541661e-13,1.3535821e-11,2.542178e-13,1.4790944e-14
TEST_00007,12,2.4572644e-06,1.8291222e-06,1.4152743e-05,5.5012665e-06,3.7009252e-06,2.676118e-06,4.1199568e-05,2.3615212e-05,0.00035957427,3.631116e-06,0.0017764961,1.18074295e-05,0.9953919,0.0012848396,9.530189e-06,2.2015406e-06,0.00020301141,0.00046583673,0.0003553179,2.4505382e-05,1.6262897e-05
TEST_00008,4,7.838356e-09,2.4663504e-07,5.9930585e-08,2.3478694e-07,0.9706649,5.388068e-07,8.173899e-08,6.740847e-09,1.1967573e-07,6.3864465e-09,1.1786941e-08,0.029329488,4.5467985e-08,3.7251456e-07,3.3068642e-07,5.7222858e-09,5.561875e-07,2.439425e-06,1.4723432e-07,1.2130059e-08,4.6016675e-07
TEST_00009,5,2.1520468e-06,2.6776675e-06,5.938579e-06,4.1621092e-06,6.6828497e-06,0.9995891,3.4771174e-06,7.326202e-05,9.069731e-06,2.9027738e-06,2.754027e-05,4.6766295e-06,0.00022160898,3.0976346e-06,1.0500441e-06,3.6796262e-06,9.962908e-06,1.7742952e-05,4.9783466e-06,3.1449763e-06,3.0928984e-06
