ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,4.940330294556998e-06,1.8198973116756035e-08,3.5080846086734064e-07,1.640807747083075e-06,0.9932896651382426,1.2331259414654694e-07,2.4778838764524007e-06,5.956930496146391e-10,1.226412495012534e-07,3.8011739641270634e-07,1.5120207005267814e-07,0.006695461884423524,7.108785264891443e-07,4.2009301677814406e-07,1.708520312366673e-08,2.4212387554696343e-06,2.407857785804416e-07,6.563335388334595e-08,2.961334106898245e-07,3.59120597756849e-07,1.3611033596917358e-07
TEST_00001,5,6.598626232933852e-08,1.735124239831946e-09,3.1407037591631285e-09,1.9828246461716938e-08,4.239372187743567e-08,0.9999825923465188,4.235503895253798e-08,8.261810355122489e-11,8.363720485087952e-09,7.115398816737333e-08,4.2328868621738546e-09,3.0595615131418324e-08,1.650253434202586e-05,2.4293258525695217e-08,6.37753574041465e-09,3.846574157394542e-07,9.223884552007112e-09,7.800900553963056e-09,3.9111992921106154e-08,1.3421960506284936e-07,9.566619832811472e-09
TEST_00002,0,0.40729772076214266,1.6937952812740003e-05,9.394750006812757e-06,4.92549225742079e-05,1.2415573407395029e-05,2.3370331018833175e-05,2.6685943829257082e-06,4.51356972890845e-05,1.980331887245125e-06,0.32781703179791466,5.160434341163015e-05,0.00010356586480411867,1.4669336932115253e-06,1.3848926994841693e-06,4.924660446539997e-06,0.24047975161705798,9.197840532187272e-05,2.882739312535519e-06,2.1918663353188215e-05,0.023961098014702746,3.5131517597122523e-06
TEST_00003,0,0.5809093677477707,6.41976128800596e-05,5.103208911279326e-06,0.00022063010128254814,8.398994746719873e-06,1.6261912359966902e-05,3.109077646927905e-06,4.844609595205996e-07,1.545868410311094e-06,0.2557114253864875,0.00046645525550228627,0.00011349723668963058,6.172230795749413e-07,3.029554024081889e-06,1.0698450641925172e-05,0.15873507066953996,0.00011649645575042678,4.2426360161103696e-05,8.425207109388538e-07,0.003557273390736531,1.3068511707953461e-05
TEST_00004,15,0.30113603144559464,1.5052481594512282e-05,1.2980462309999255e-06,0.0004939298967772463,5.092604588947756e-05,3.0353547200618464e-06,3.478518761696568e-05,5.3672556199403324e-05,2.0140189492060213e-05,0.2204239869140218,0.023943921153363242,8.535808674950194e-05,7.269076086722802e-05,5.9354724844058054e-05,5.7110980139268135e-05,0.4024957519415452,0.04476214728514838,9.279909683648806e-06,0.0001154315235740009,0.006147023382048843,1.9072133899502085e-05
TEST_00005,1,5.491577627405216e-06,0.9988104953409824,2.7781669297516616e-07,2.798419628655796e-08,1.4004398870928571e-08,8.903494201936603e-09,4.4038701172765064e-08,7.449538390863631e-09,0.0011794792506370304,7.507426668333976e-07,1.2594361388538654e-08,3.328146668330746e-08,9.179322877205413e-07,6.323181776355163e-07,4.168052729476045e-08,1.2748563347471685e-06,5.040466151441154e-08,1.0530587101131625e-07,1.2080210451610642e-07,1.873099684919063e-07,2.6405303817887534e-08
TEST_00006,8,7.043677463953747e-07,8.04248235300605e-08,0.0017426468010142467,2.759527519685083e-07,3.021489715615123e-08,2.8112610575024983e-10,1.4294890302195553e-07,1.7340756936028763e-09,0.9982146867206168,1.4135316386740721e-05,2.2632220401970557e-07,4.0187626872934185e-08,1.650947141393681e-06,1.4056730283565725e-05,2.3857232130992697e-07,8.7882950672319e-06,1.3059002532245519e-06,1.6219003632596644e-07,3.2131319266382877e-07,4.782663826118809e-07,2.651314895947944e-08
TEST_00007,12,8.576095635063744e-09,1.0416185715953615e-09,8.121714763292153e-11,1.2306006177925872e-07,1.0498965635674327e-08,3.3609844036842747e-09,4.671862004603445e-08,6.71172801136031e-11,8.96785888503052e-06,4.472499555406754e-08,5.795698649270421e-06,2.6739842096134884e-08,0.9999679015809566,1.0621530751089626e-05,8.932077338106389e-08,2.4706760035106946e-07,3.520420943812834e-07,9.715266930617283e-09,5.66101436720198e-06,3.4217406316739016e-08,5.508373101705836e-08
TEST_00008,4,5.2932895961402735e-06,1.7526696552046065e-08,3.70861681185488e-07,1.8400297464421352e-06,0.9925173346969678,8.449833641497103e-08,1.1729295538117682e-06,5.080220641325334e-10,9.309753351474444e-08,3.3936921148726e-07,1.0779483560343997e-07,0.007469391132757337,4.983408305240066e-07,2.5816516272109563e-07,1.3103997324377436e-08,2.3633496234495263e-06,1.905220434897338e-07,7.51470180932983e-08,2.0724112392537478e-07,2.3509929943432478e-07,1.1329596246309121e-07
TEST_00009,5,2.0182902758213712e-08,5.727853626642388e-10,2.156686808345728e-09,1.0517582875997645e-08,7.775378894886692e-09,0.9999995247894866,7.9751389280178e-09,1.4230738479294479e-11,1.232319939129498e-09,1.594739193539835e-08,3.7424978109807087e-10,2.978601000686734e-09,3.0047343139566894e-07,2.2545377815530386e-09,8.480744888537974e-10,6.335986341729512e-08,1.7182628654474504e-09,1.7429902982851792e-09,7.107415772284768e-09,2.609793716254307e-08,1.880731307144353e-09
TEST_00010,17,5.186844148011089e-09,5.54832258865338e-09,4.552597977672309e-09,4.934886466680973e-08,8.550426573752246e-09,1.6364427715654603e-09,7.452410646794532e-09,7.28112640067633e-12,3.610213921864748e-08,8.961799097372489e-08,9.269886240421368e-09,4.8768320626610695e-09,4.078425225008685e-08,2.0133127506444863e-07,8.093564552268204e-09,3.079802613262705e-08,5.050014271409229e-10,0.9999994555600942,2.749695140042165e-08,8.549193428695705e-10,1.2425876733225917e-08
TEST_00011,8,7.220829635733e-07,1.0321902166950813e-07,1.244371092239393e-08,4.837598216680416e-07,8.09158300773941e-09,1.5190201904659813e-10,1.483699097674065e-07,2.443513388601656e-09,0.9999908776398688,3.8579527582833574e-07,3.030323495048033e-08,1.235547514928279e-08,9.20417504287746e-07,5.748875498282815e-06,5.4930570651022164e-08,2.3228202049782557e-07,4.2244889694163644e-08,8.158015594831187e-08,8.022333823969513e-08,2.2115793484551108e-08,3.0673948173605197e-08
TEST_00012,11,1.2005276222451776e-05,1.602850151284855e-08,4.3703738483336794e-08,2.02422132318907e-06,7.746753583351988e-05,1.407924206009145e-08,5.493137347170226e-08,1.356854665337922e-09,6.661880415775602e-08,6.536707762497136e-07,4.8357498872793146e-08,0.9998984298489227,4.0585766813720554e-07,1.572378374786887e-08,5.901302619513711e-06,2.5988279860525983e-06,8.901775810197491e-09,2.9876884355667155e-08,3.660946320045545e-08,1.5610550754205468e-07,2.1165220212859984e-08
TEST_00013,10,4.608721209777206e-07,5.1250261618538485e-09,3.590130115794774e-10,6.041860799722118e-07,3.8878550597126314e-09,5.526833937689318e-10,3.9945062497189436e-10,7.070645076505087e-11,5.3928245767825064e-08,2.614029467745088e-07,0.999983589869649,2.0713061512435237e-08,1.2142566392590397e-06,3.2428255010085195e-07,1.9390849404028244e-08,1.0651190263377407e-07,1.3203892271836094e-05,4.727444225724908e-09,1.437162377981843e-08,1.0061804073627174e-07,1.0581839204093715e-08
TEST_00014,15,0.2826896395466493,2.137836317110378e-05,5.6272124792381804e-05,0.08150496790410701,1.7459513031610443e-05,9.270073152203548e-05,4.177643321634837e-05,9.286247125404148e-08,4.1871849933602435e-06,0.22701270594066592,6.229594851999014e-05,7.33189760399193e-05,1.1510683150126266e-05,2.4451783427637318e-05,4.0278389218773655e-05,0.3978768776347989,4.67485541421552e-05,2.5235377702631563e-05,4.9544081954265225e-05,0.010290272336036889,5.828563038838046e-05
TEST_00015,0,0.49817239476691544,2.856254958136534e-05,7.188928321003304e-06,6.434191327575499e-05,4.6885518364889604e-06,1.4055761400710989e-06,7.447007303075514e-06,5.174347594041133e-05,2.992805123201918e-07,0.19599720475323612,0.00012564716175401442,2.5229972071276895e-05,5.783310360278266e-07,1.4147729477155525e-06,3.427466795210732e-07,0.30438970830796486,9.335907425358329e-05,4.3013839115866075e-05,2.0984084509317045e-06,0.0009770526004629942,6.277982200976069e-06
TEST_00016,13,3.361654230406735e-07,8.243610640996988e-07,5.343271290020284e-09,2.2974844144886688e-07,4.453786304782352e-08,9.108916596165517e-10,1.882464305679919e-07,3.0269556553888533e-09,0.00015546777384321437,8.13439566561486e-05,8.63542502599933e-07,2.0328671418535795e-07,1.252968354259832e-05,0.9994851849990543,0.0002593142694544463,3.240260650210429e-08,5.363113718359316e-08,2.093149753414827e-07,2.710929720715216e-06,3.196999972789899e-07,1.341694546064322e-07
TEST_00017,3,0.0006407062969992732,2.535121651360119e-07,1.0010786269728538e-06,0.9404227176753375,4.812706296057652e-07,7.039494941748855e-07,3.1977535627742633e-07,1.3354807142687056e-10,2.3676783660864535e-07,0.05393379931228856,6.1132890851265295e-06,1.1788774216536114e-05,4.3458981538837614e-07,1.1464424137269166e-06,5.9835891922930856e-05,0.004684961743966,7.854869602104846e-06,2.008716847445118e-06,3.911670159073764e-06,0.00021774586530985248,3.978374379565308e-06
TEST_00018,19,0.0021471403151225726,6.737706600639478e-08,6.295966238096055e-07,2.6365648648221397e-05,1.2192118361798377e-06,2.2484705677086925e-07,3.998166409225828e-06,4.42552714118615e-07,1.99212077729156e-06,0.0001335823812079852,9.218420473060274e-06,4.095271251231423e-06,1.8552817156484828e-06,3.4044322767026542e-06,4.935938627443412e-06,0.0005676608377321563,0.0016935552655863084,1.4771508628605309e-08,1.6664150889373482e-06,0.9953956788181603,2.2523301175804313e-06
