ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,0.0045183706,0.003574609,0.003824442,0.004761096,0.88802993,0.0045111184,0.0037883688,0.005130747,0.004086089,0.004238606,0.0040221624,0.035395678,0.0032157034,0.004650277,0.0016093372,0.0047779367,0.0038689643,0.004436939,0.003933699,0.003194177,0.0044317334
TEST_00001,5,0.010538003,0.0065450603,0.011425077,0.0073822113,0.007765611,0.78353703,0.009320017,0.007928569,0.005978072,0.009081756,0.008218089,0.011847276,0.043546647,0.012304111,0.0063728713,0.012893995,0.008701486,0.0070325085,0.009594688,0.0112700295,0.008716973
TEST_00002,0,0.30358738,0.0027045934,0.0027689233,0.0076926323,0.0024957033,0.002066865,0.0025328961,0.0027468868,0.0020381412,0.30329555,0.0060299495,0.0042822333,0.001538584,0.0029457987,0.0029839734,0.27997464,0.0073372126,0.0026971917,0.0026260377,0.05564993,0.0020048232
TEST_00003,15,0.2947492,0.005658695,0.0048300955,0.03956763,0.0050057746,0.004064728,0.0046548424,0.0037471089,0.0042001717,0.18791649,0.013016154,0.008243279,0.0042713955,0.0043754964,0.0037522898,0.3083935,0.022309883,0.005239376,0.005314203,0.066624664,0.0040650275
TEST_00004,9,0.22310321,0.0069540488,0.007205638,0.009791322,0.0072118975,0.0054135225,0.0085624885,0.009168989,0.007714054,0.32872593,0.040659275,0.008790036,0.002370417,0.011953923,0.02561886,0.16580807,0.021566907,0.007002683,0.008743197,0.08770937,0.0059261983
TEST_00005,1,0.012921,0.7302414,0.013998082,0.013070203,0.008663238,0.0129001215,0.014880979,0.011762342,0.057074904,0.013301862,0.007819792,0.008115965,0.0063258773,0.015387872,0.007470748,0.011982474,0.009575816,0.008894997,0.013492657,0.011088048,0.011031708
TEST_00006,2,0.012178818,0.010910471,0.6526521,0.010832926,0.01284453,0.015298225,0.010970751,0.010802599,0.119171694,0.014855792,0.012308201,0.011913867,0.004129306,0.008527597,0.013567848,0.012232073,0.0129557755,0.013156834,0.011316154,0.016609903,0.012764543
TEST_00007,12,0.0018818744,0.0030528917,0.0019845578,0.005835873,0.0028572204,0.0017083313,0.0033536502,0.0030368937,0.039055593,0.003205236,0.0019033175,0.0028265484,0.89794797,0.007967068,0.005469679,0.0019240134,0.0019739144,0.0055195936,0.0035650805,0.00035146924,0.0045792055
TEST_00008,4,0.0043255603,0.005092717,0.0033592707,0.004644675,0.87012845,0.004086406,0.003698585,0.0041165394,0.0035057142,0.004076471,0.0028828068,0.058047958,0.0029032798,0.004176193,0.0015082655,0.0048904335,0.0033525464,0.0046007885,0.003317133,0.0029869794,0.004299216
TEST_00009,5,0.0067909597,0.006205371,0.0072318083,0.006012047,0.0073581366,0.85321075,0.006890437,0.0066300193,0.0067911847,0.0074557043,0.0060937232,0.0064689405,0.01329979,0.008243712,0.0042356336,0.009315783,0.006109277,0.0062788264,0.009575108,0.008350749,0.0074520125
TEST_00010,17,0.0055120275,0.0048226262,0.004587923,0.0036586192,0.003755366,0.0041807625,0.0047413474,0.0047956035,0.0034139766,0.0059382687,0.0046694237,0.006633355,0.004752154,0.0021132426,0.00219814,0.0061946167,0.0042777434,0.9093362,0.0048568677,0.00512172,0.0044400925
TEST_00011,8,0.005687066,0.0039480748,0.0016370986,0.003445878,0.0038858964,0.002495402,0.0045132814,0.0034392201,0.9329975,0.0036126622,0.0018772434,0.0026788902,0.0007477988,0.0049788104,0.0041621854,0.0041302266,0.0017458644,0.003680413,0.003592907,0.0029844735,0.0037591308
TEST_00012,11,0.007635915,0.009214216,0.0053849663,0.007682997,0.01650686,0.004832225,0.007655916,0.0072151097,0.003543246,0.005535174,0.003883408,0.8685238,0.010804415,0.0041093915,0.0034678336,0.0066914707,0.005361139,0.0071981787,0.005495698,0.002083335,0.007174718
TEST_00013,10,0.0017939085,0.0038814764,0.0035316818,0.0029927003,0.0024272888,0.0029618584,0.0031431757,0.0034875653,0.0037021842,0.002357701,0.919806,0.0026327807,0.005743614,0.0034054923,0.0028018306,0.002552177,0.018334996,0.003101944,0.0053222883,0.0021488608,0.0038703892
TEST_00014,3,0.18947501,0.0042921253,0.003684016,0.22672765,0.004913722,0.0045663384,0.005277383,0.0047019054,0.0042917267,0.1753327,0.0070621097,0.0051227706,0.0048241904,0.0029489195,0.0016544533,0.19018066,0.007184416,0.0039104237,0.0066244984,0.14402416,0.003200806
TEST_00015,0,0.28727838,0.0058773747,0.0037944827,0.012548816,0.0041691447,0.006594632,0.0059935492,0.0046998863,0.0023156027,0.18967405,0.07834466,0.022558164,0.002978741,0.0057000774,0.000869864,0.2847032,0.03751359,0.0051043583,0.0045194877,0.030382589,0.0043793498
TEST_00016,13,0.0030688376,0.02350544,0.0077339197,0.0039179265,0.004691262,0.006932226,0.0075829388,0.010711099,0.051072657,0.0329491,0.0048374357,0.0032509696,0.00812058,0.71156085,0.096694455,0.0023210444,0.002564618,0.004597272,0.0046830964,0.0044588083,0.0047453805
TEST_00017,3,0.04392285,0.0026888414,0.0025602786,0.6332346,0.002986004,0.0031009242,0.0031655736,0.0035747406,0.0027769287,0.19264033,0.009026603,0.0032225442,0.0026696443,0.0023022718,0.0063414886,0.054258175,0.006604792,0.0025266851,0.0031462472,0.016579546,0.0026708974
TEST_00018,19,0.037551638,0.0071713356,0.0047461754,0.006545081,0.009829603,0.0042895693,0.007684972,0.0073070438,0.005674492,0.034210816,0.010988576,0.006638831,0.007004282,0.007030329,0.012013808,0.04003672,0.10122639,0.006120286,0.004191576,0.67409533,0.0056430656
TEST_00019,14,0.0019305643,0.003416643,0.0035235982,0.0021727714,0.000680155,0.0041483054,0.0036950528,0.0043632854,0.0025967755,0.0016414195,0.0022794327,0.11594099,0.0026896405,0.00247815,0.82773626,0.0018170407,0.0017813297,0.004302094,0.0035192557,0.0039107124,0.0053765904
TEST_00020,6,0.003781157,0.0019654701,0.0026945167,0.00488245,0.0038497553,0.0033914007,0.93497485,0.0030499608,0.0064379657,0.004174774,0.0031293272,0.0017947068,0.00045009967,0.0056748623,0.0020756912,0.0040773423,0.002341723,0.0023319111,0.0018157382,0.0033216286,0.003784697
