ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,0.004030705,0.0033170094,0.006707301,0.003927643,0.88412184,0.004300636,0.004115365,0.008138537,0.006655844,0.0046355445,0.0034637633,0.032274965,0.0048587415,0.0046912516,0.002348875,0.0038785483,0.0019491103,0.005635244,0.0036682491,0.0021861333,0.0050946665
TEST_00001,5,0.005963412,0.005223765,0.008153844,0.005401966,0.006883573,0.86242414,0.007703937,0.0078133885,0.0019147341,0.0043385555,0.0023066052,0.009189434,0.03076282,0.007078503,0.0029232008,0.0059283827,0.002389888,0.0052202865,0.0074877627,0.0068805013,0.0040113307
TEST_00002,19,0.17970257,0.005350326,0.0062099425,0.00638724,0.005137239,0.00835926,0.004897059,0.004733105,0.003691153,0.1000187,0.0049515218,0.003973493,0.004616237,0.0022455675,0.011386204,0.08949926,0.033765584,0.007305143,0.005566233,0.50507665,0.0071275537
TEST_00003,0,0.29320976,0.004732899,0.009311536,0.048331417,0.0057868967,0.0030036431,0.0063908817,0.0065904534,0.0090494165,0.22676195,0.006622712,0.010801299,0.005715827,0.007660455,0.006400672,0.2841401,0.012110715,0.008794841,0.010670864,0.030690009,0.0032236513
TEST_00004,9,0.22762144,0.0050216946,0.0047946377,0.005907234,0.008473534,0.0056266817,0.0052477736,0.004755266,0.004522912,0.40979353,0.026693726,0.0054929443,0.006386683,0.0033836933,0.015895171,0.15155815,0.026649851,0.0050587356,0.0033990184,0.068304434,0.0054129176
TEST_00005,1,0.008075339,0.84723395,0.008984342,0.012538339,0.008848251,0.009481089,0.012409945,0.009816779,0.0127172135,0.0065993275,0.009022594,0.00722447,0.006571471,0.0050752433,0.0041361074,0.0075945957,0.0026051,0.006253745,0.005253616,0.004751128,0.004807344
TEST_00006,2,0.011570845,0.01126626,0.4590398,0.010737625,0.014879277,0.021338835,0.027553244,0.013609813,0.31158203,0.009926762,0.011556159,0.0060882005,0.0022464034,0.007998572,0.013175399,0.00759585,0.017573876,0.014212739,0.005116873,0.01354553,0.009385882
TEST_00007,12,0.006971564,0.0032993723,0.0020347189,0.0025195824,0.0027876273,0.0028246364,0.0059406688,0.010022575,0.021121254,0.005093761,0.004769018,0.012689856,0.85576516,0.007304618,0.00398946,0.0026454981,0.0047679814,0.016910402,0.00632364,0.00077284913,0.02144581
TEST_00008,4,0.0060569416,0.00813088,0.008886743,0.0057291533,0.7978894,0.005179285,0.005681574,0.0058518024,0.014658541,0.0071300496,0.0036833666,0.08269336,0.011087427,0.0058446354,0.001405308,0.005224207,0.0023558543,0.008801417,0.003667364,0.0030731028,0.0069695394
TEST_00009,5,0.005315043,0.0048001134,0.0070013897,0.0042668204,0.0036028072,0.903053,0.0042180694,0.006362933,0.0033494346,0.004216775,0.0030375763,0.007501956,0.0068642027,0.005239507,0.0023375389,0.004189132,0.0050058104,0.0049099117,0.0052222516,0.005331502,0.0041742786
TEST_00010,17,0.0041954424,0.003782936,0.004406016,0.0037352494,0.0048952447,0.005187824,0.004583621,0.004589062,0.0046904995,0.004264121,0.004307663,0.0038069214,0.00318236,0.0027733408,0.0034919719,0.004503863,0.0036252132,0.9178777,0.0049840407,0.0037785873,0.0033384275
TEST_00011,8,0.0053315274,0.004447507,0.001946831,0.0029960156,0.0026888512,0.002223233,0.0023439666,0.004037911,0.9405295,0.0037078313,0.0016483774,0.004327172,0.0009859883,0.0042138603,0.0020206487,0.0042306473,0.0014812651,0.003042366,0.0027679626,0.001659041,0.0033696897
TEST_00012,11,0.0057017906,0.008179005,0.0038801162,0.005320424,0.0042163287,0.004829467,0.004951827,0.007978993,0.003430096,0.0024563519,0.0009656082,0.91462165,0.0046292236,0.0019456628,0.0026486423,0.005909424,0.0031146342,0.0066408846,0.0016239792,0.0016904557,0.005265498
TEST_00013,10,0.0018187638,0.003032489,0.0031391245,0.0023372553,0.003169678,0.0029882262,0.0041214577,0.0023072502,0.0037521094,0.0022372778,0.93466324,0.001673475,0.003972788,0.0017533185,0.0026071006,0.0026011677,0.013115141,0.004122148,0.0024256764,0.00093545235,0.0032269256
TEST_00014,19,0.13644819,0.008528236,0.007361228,0.0969417,0.004795692,0.009078807,0.016489036,0.0062993346,0.004382551,0.09849475,0.0073063006,0.0047500334,0.010208285,0.0041008694,0.0049777315,0.115715474,0.003550151,0.0067280587,0.0071285055,0.44097817,0.0057367748
